Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,arrival_date,market_segment_type,avg_price_per_room,booking_status,Year 
INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,2017-10-02,Offline,65,Not_Canceled,2017
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,2018-11-06,Online,106.68,Not_Canceled,2018
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,2018-02-28,Online,60,Canceled,2018
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,2018-05-20,Online,100,Canceled,2018
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,2018-04-11,Online,94.5,Canceled,2018
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,2018-09-13,Online,115,Canceled,2018
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,2017-10-15,Online,107.55,Not_Canceled,2017
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,2018-12-26,Online,105.61,Not_Canceled,2018
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,2018-07-06,Offline,96.9,Not_Canceled,2018
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,2018-10-18,Online,133.44,Not_Canceled,2018
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,2018-09-11,Online,85.03,Not_Canceled,2018
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,2018-04-30,Online,140.4,Not_Canceled,2018
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,2018-11-26,Online,88,Canceled,2018
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,2018-11-20,Online,90,Canceled,2018
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,2017-10-20,Online,94.5,Not_Canceled,2017
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,2018-06-15,Online,115,Canceled,2018
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,2017-10-05,Offline,96,Not_Canceled,2017
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,2017-08-10,Online,96,Not_Canceled,2017
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,2017-10-30,Online,65,Canceled,2017
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,2017-10-04,Offline,72,Not_Canceled,2017
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,2017-10-30,Online,65,Canceled,2017
INN00022,1,0,0,1,Meal Plan 1,Room_Type 1,122,2018-11-25,Corporate,67,Not_Canceled,2018
INN00023,2,0,2,4,Meal Plan 1,Room_Type 1,2,2018-03-20,Offline,85,Not_Canceled,2018
INN00024,2,0,0,3,Meal Plan 1,Room_Type 1,37,2018-10-13,Offline,105,Not_Canceled,2018
